n,k
1,1.0
2,1.0
4,1.0
7,1.0
13,0.8846153846153846
23,0.898550724637681
41,0.8861788617886178
74,0.8349358974358975
131,0.7432630558584756
233,0.6744417361370152
415,0.5664925427954162
738,0.503057180992969
1312,0.4282249696887717
2333,0.3509850740498141
4149,0.2771590399970051
7378,0.19653677546249515
13121,0.1414903826044604
23333,0.10850567005510164
41492,0.06996352075138952
73784,0.059833010901306646
131209,0.02889338844470997
1,1.0
2,1.0
4,1.0
7,0.9233465608465609
13,0.9697191697191698
23,0.8660254198297676
41,0.888142502258356
74,0.8492234390002248
131,0.7655373298220217
233,0.6729103551082589
415,0.5562956378249657
738,0.5195661399061063
1312,0.42702517261811324
2333,0.327395247212735
4149,0.2541443598854744
7378,0.19948404425863744
13121,0.14009472685395688
23333,0.10574399472319496
41492,0.07096671605934489
73784,0.044784946316692165
131209,0.028225030861459704
